current,gym,max,time,weekday
6,Dallas,81,2020-08-31 06:44:10,Mon
4,Denton,80,2020-08-31 06:44:10,Mon
0,Fort Worth,70,2020-08-31 06:44:10,Mon
10,Grapevine,63,2020-08-31 06:44:10,Mon
24,Plano,193,2020-08-31 06:44:10,Mon
8,OKC,35,2020-08-31 06:44:10,Mon
12,Norman,68,2020-08-31 06:44:11,Mon
6,Dallas,81,2020-08-31 06:54:11,Mon
3,Denton,80,2020-08-31 06:54:11,Mon
2,Fort Worth,70,2020-08-31 06:54:11,Mon
10,Grapevine,63,2020-08-31 06:54:11,Mon
28,Plano,193,2020-08-31 06:54:11,Mon
8,OKC,35,2020-08-31 06:54:11,Mon
12,Norman,68,2020-08-31 06:54:11,Mon
7,Dallas,81,2020-08-31 07:04:12,Mon
3,Denton,80,2020-08-31 07:04:12,Mon
2,Fort Worth,70,2020-08-31 07:04:12,Mon
10,Grapevine,63,2020-08-31 07:04:12,Mon
29,Plano,193,2020-08-31 07:04:12,Mon
8,OKC,35,2020-08-31 07:04:12,Mon
12,Norman,68,2020-08-31 07:04:12,Mon
7,Dallas,81,2020-08-31 07:14:13,Mon
3,Denton,80,2020-08-31 07:14:13,Mon
2,Fort Worth,70,2020-08-31 07:14:13,Mon
10,Grapevine,63,2020-08-31 07:14:13,Mon
32,Plano,193,2020-08-31 07:14:13,Mon
8,OKC,35,2020-08-31 07:14:13,Mon
12,Norman,68,2020-08-31 07:14:13,Mon
7,Dallas,81,2020-08-31 07:24:13,Mon
3,Denton,80,2020-08-31 07:24:14,Mon
2,Fort Worth,70,2020-08-31 07:24:14,Mon
10,Grapevine,63,2020-08-31 07:24:14,Mon
32,Plano,193,2020-08-31 07:24:14,Mon
8,OKC,35,2020-08-31 07:24:14,Mon
12,Norman,68,2020-08-31 07:24:14,Mon
7,Dallas,81,2020-08-31 07:28:48,Mon
3,Denton,80,2020-08-31 07:28:48,Mon
2,Fort Worth,70,2020-08-31 07:28:48,Mon
10,Grapevine,63,2020-08-31 07:28:48,Mon
33,Plano,193,2020-08-31 07:28:48,Mon
8,OKC,35,2020-08-31 07:28:48,Mon
12,Norman,68,2020-08-31 07:28:48,Mon
7,Dallas,81,2020-08-31 07:38:49,Mon
4,Denton,80,2020-08-31 07:38:49,Mon
6,Fort Worth,70,2020-08-31 07:38:49,Mon
10,Grapevine,63,2020-08-31 07:38:50,Mon
34,Plano,193,2020-08-31 07:38:50,Mon
8,OKC,35,2020-08-31 07:38:50,Mon
12,Norman,68,2020-08-31 07:38:50,Mon
9,Dallas,81,2020-08-31 07:48:51,Mon
5,Denton,80,2020-08-31 07:48:51,Mon
6,Fort Worth,70,2020-08-31 07:48:51,Mon
10,Grapevine,63,2020-08-31 07:48:51,Mon
34,Plano,193,2020-08-31 07:48:52,Mon
8,OKC,35,2020-08-31 07:48:52,Mon
12,Norman,68,2020-08-31 07:48:52,Mon
